HMIType,地址,SVI变量,中文名,英文名,Update,Save_Any1s,Storage_10ms,Storage_1s,And_10Min,NumberMax_10min,Mean_10min,Max_10min,Min_10min,StadDev_10Min,Onflow_10Min,Mean_10s,Max_10s,Min_10s,EdgeDetect,enCoding
COIL,901,HMI_Coil[901],参数修改-确认,State_TMPParaSetConfirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a901
COIL,902,HMI_Coil[902],固化IO取反,State_TMPConditionSaveFile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a902
COIL,903,HMI_Coil[903],固化故障码屏蔽,State_TMPMaskSaveFile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a903
COIL,909,HMI_Coil[909],手动变桨-桨叶1确定,State_TMPManuPitchBlade1Confirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a909
COIL,910,HMI_Coil[910],手动变桨-桨叶2确定,State_TMPManuPitchBlade2Confirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a910
COIL,911,HMI_Coil[911],手动变桨-桨叶3确定,State_TMPManuPitchBlade3Confirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a911
COIL,914,HMI_Coil[914],手动变桨激活,State_ManuPitchCommand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a914
COIL,915,HMI_Coil[915],手动顺时针偏航,State_ManuYawCw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a915
COIL,916,HMI_Coil[916],手动逆时针偏航,State_ManuYawCcw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a916
COIL,917,HMI_Coil[917],自动偏航,State_ManuYawAuto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a917
COIL,918,HMI_Coil[918],停止偏航,State_ManuYawStop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a918
COIL,919,HMI_Coil[919],扭揽值设置,State_TMPManuCableTwistSet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a919
COIL_RCLEAR,920,HMI_Coil[920],SCADA远程停机,State_TMPManuStopFromSCADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a920
COIL_RCLEAR,921,HMI_Coil[921],SCADA手动复位,State_TMPManuResetFromSCADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a921
COIL_RCLEAR,922,HMI_Coil[922],SCADA手动启机,State_TMPManuStartupFromSCADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a922
COIL,923,HMI_Coil[923],机舱心跳，面板每周期写,State_TMPHeartbeatOfNacelleHMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a923
COIL,924,HMI_Coil[924],塔基心跳，面板每周期写,State_TMPHeartbeatOfTowerbaseHMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a924
COIL,925,HMI_Coil[925],远程面板心跳，面板每周期写,State_TMPHeartbeatOfRemoteHMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a925
COIL,929,HMI_Coil[929],用于功率实验的手动并网操作,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a929
COIL,930,HMI_Coil[930],用于记录录波数据使能信号，开放到调试软件。,State_TMPRecorderEnable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a930
COIL,931,HMI_Coil[931],功率管理使能，用于SCADA,State_TMPPowerManageCommand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a931
COIL,932,HMI_Coil[932],有功功率设定-确认-HMI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a932
COIL,933,HMI_Coil[933],无功功率设定-确认-HMI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a933
COIL,934,HMI_Coil[934],设定转速-确认-HMI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a934
COIL,935,HMI_Coil[935],算法日志开启使能,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a935
COIL,936,HMI_Coil[936],算法数据采集周期，大小确认,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a936
COIL,942,HMI_Coil[942],调试软件心跳,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a942
COIL,943,HMI_Coil[943],算法风速使能信号,State_TMPAlgWspdEnable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a943
COIL,944,HMI_Coil[944],HMI手动限功率使能,State_TMPHMIManuLoadLimitCommand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a944
COIL,945,HMI_Coil[945],开始系统辨识,State_TMPSystemRecognizeStart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a945
COIL,946,HMI_Coil[946],系统辨识使能,State_TMPSystemRecognizeEnable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a946
COIL,947,HMI_Coil[947],消防系统喷放指令（SCADA控制）,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a947
COIL,951,HMI_Coil[951],业主停机,State_TMPProprietorShutDown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a951
COIL,952,HMI_Coil[952],面板停机,State_TMPHMIManuStop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a952
COIL,953,HMI_Coil[953],面板复位,State_TMPHMIFaultManuReset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a953
